location,coordinate,pinyin
"['池袋', '川越', '日暮里', '台場']","[(139.7164093, 35.7294086), (139.10726577134062, 37.8185967), (140.87132712947033, 38.2691214), (140.99405836859154, 38.271602)]","['chi_dai', 'chuan_yue', 'ri_mu_li', 'tai_chang']"
"['東京', '赤坂']","[(139.7263178, 35.6309711), (139.726911, 35.670096)]","['dong_jing', 'chi_ban']"
"['東京', '埼玉']","[(139.7263178, 35.6309711), (139.57280924168407, 36.1989851)]","['dong_jing', 'qi_yu']"
"['名古屋', '仙台']","[(136.8983493, 35.1803174), (140.8127387, 38.2596639)]","['ming_gu_wu', 'xian_tai']"
"['銀座', '有樂']","[(139.0747545, 35.0987742), (139.7613209, 35.6742329)]","['yin_zuo', 'you_le']"
"['成田', '東京', '人形町', '新宿']","[(140.3471822, 35.7876024), (139.49235980752815, 35.7062778), (139.7814766, 35.6847665), (139.70116, 35.696928)]","['cheng_tian', 'dong_jing', 'ren_xing_ting', 'xin_su']"
"['東京', '鎌倉']","[(139.7263178, 35.6309711), (139.5272119, 35.345929)]","['dong_jing', 'lian_cang']"
"['橫濱', '川崎']","[(139.66218820039327, 35.4817975), (141.13902289997344, 38.9262502)]","['heng_bin', 'chuan_qi']"
"['橫濱', '東京']","[(139.66218820039327, 35.4817975), (139.7263178, 35.6309711)]","['heng_bin', 'dong_jing']"
"['箱根', '河口湖', '輕井澤', '熱海', '鎌倉']","[(139.7584178, 35.7223988), (138.7410533, 35.4536743), (139.7774184, 35.6255229), (140.6238777, 37.9978369), (139.5272119, 35.345929)]","['xiang_gen', 'he_kou_hu', 'qing_jing_ze', 're_hai', 'lian_cang']"
"['栃木縣', '宇都宮']","[(139.47219594593872, 36.325738349999995), (139.80174549273724, 36.5373386)]","['li_mu_xian', 'yu_dou_gong']"
"['東京', '青木']","[(139.7263178, 35.6309711), (140.8808055, 38.2522323)]","['dong_jing', 'qing_mu']"
"['箱根', '新宿']","[(139.7584178, 35.7223988), (139.7657629890959, 35.664022200000005)]","['xiang_gen', 'xin_su']"
"['東京', '秋葉原']","[(139.7263178, 35.6309711), (140.12176309957977, 39.94093865)]","['dong_jing', 'qiu_ye_yuan']"
"['羽田', '千葉']","[(141.13902289997344, 38.9262502), (139.89888592824036, 35.8093935)]","['yu_tian', 'qian_ye']"
"['銀座', '東京車']","[(139.0747545, 35.0987742), (139.32252516287593, 35.7904629)]","['yin_zuo', 'dong_jing_che']"
"['港區', '港區 港区']","[(139.7263178, 35.6309711), (139.7263178, 35.6309711)]","['gang_qu', 'gang_qu_ _gang_qu']"
"['日光', '東京', '江之島']","[(140.8808055, 38.2522323), (139.7256288, 35.6312558), (140.32725768758212, 35.95548395)]","['ri_guang', 'dong_jing', 'jiang_zhi_dao']"
"['東京', '鐮倉']","[(139.7256288, 35.6312558), (139.5272119, 35.345929)]","['dong_jing', 'lian_cang']"
"['千葉縣松戶市', '東京']","[(139.89888592824036, 35.8093935), (139.7256288, 35.6312558)]","['qian_ye_xian_song_hu_shi', 'dong_jing']"
"['日光', '輕井澤', '清里']","[(140.8808055, 38.2522323), (139.7775154, 35.6247915), (140.87132712947033, 38.2691214)]","['ri_guang', 'qing_jing_ze', 'qing_li']"
"['千葉', '埼玉']","[(140.1246375, 35.6089582), (139.57280924168407, 36.1989851)]","['qian_ye', 'qi_yu']"
"['東京', '上野公園']","[(139.7256288, 35.6312558), (139.77645538340414, 35.71634805)]","['dong_jing', 'shang_ye_gong_yuan']"
"['東京', '江之島']","[(139.7256288, 35.6312558), (140.32725768758212, 35.95548395)]","['dong_jing', 'jiang_zhi_dao']"
"['偕樂園', '日立車站']","[(139.04712405857293, 36.31512615), (121.5180185, 25.0334978)]","['xie_le_yuan', 'ri_li_che_zhan']"
"['箱根', '河口湖', '東京']","[(139.7584178, 35.7223988), (138.7410533, 35.4536743), (139.7256288, 35.6312558)]","['xiang_gen', 'he_kou_hu', 'dong_jing']"
"['上野公園', '北千住駅', '東京国立']","[(139.77645538340414, 35.71634805), (141.13902289997344, 38.9262502), (139.74426429320886, 35.6786024)]","['shang_ye_gong_yuan', 'bei_qian_zhu_yi', 'dong_jing_guo_li']"
"['成田', '新宿']","[(140.3412988, 35.777497), (139.7657629890959, 35.664022200000005)]","['cheng_tian', 'xin_su']"
"['河口湖', '箱根']","[(138.7410533, 35.4536743), (139.7584178, 35.7223988)]","['he_kou_hu', 'xiang_gen']"
"['淺草', '日光']","[(139.7946169, 35.7117112), (140.8808055, 38.2522323)]","['qian_cao', 'ri_guang']"
"['東京', '河口湖']","[(139.7256288, 35.6312558), (138.7410533, 35.4536743)]","['dong_jing', 'he_kou_hu']"
"['東京', '鎌倉']","[(139.7256288, 35.6312558), (139.5272119, 35.345929)]","['dong_jing', 'lian_cang']"
"['東京', '成田']","[(139.7256288, 35.6312558), (141.0264217410451, 37.45807695)]","['dong_jing', 'cheng_tian']"
"['成田', '人形町']","[(140.3412988, 35.777497), (139.7814766, 35.6847665)]","['cheng_tian', 'ren_xing_ting']"
"['橫濱', '東京']","[(139.66218820039327, 35.4817975), (139.7256288, 35.6312558)]","['heng_bin', 'dong_jing']"
"['成田空港', '上野']","[(140.3881837, 35.7740878), (139.6270892, 35.8928066)]","['cheng_tian_kong_gang', 'shang_ye']"
"['橫濱', '成田', '輕井澤', '吉祥寺']","[(139.66218820039327, 35.4817975), (141.0264217410451, 37.45807695), (139.7775154, 35.6247915), (133.65471535153407, 34.13057965)]","['heng_bin', 'cheng_tian', 'qing_jing_ze', 'ji_xiang_si']"
"['新宿', '阿佐谷']","[(139.7657629890959, 35.664022200000005), (139.63617849653377, 35.7015514)]","['xin_su', 'a_zuo_gu']"
"['橫須賀', '東京']","[(139.674375, 35.278729), (139.7256288, 35.6312558)]","['heng_xu_he', 'dong_jing']"
"['草津', '東京', '輕井澤', '本白根山']","[(135.96275689059868, 35.017801750000004), (139.7256288, 35.6312558), (139.7775154, 35.6247915), (139.7584178, 35.7223988)]","['cao_jin', 'dong_jing', 'qing_jing_ze', 'ben_bai_gen_shan']"
"['草津', '小池', '茅場']","[(135.96275689059868, 35.017801750000004), (139.3622939, 35.4400364), (139.0429191702628, 37.6731324)]","['cao_jin', 'xiao_chi', 'mao_chang']"
"['東京', '台場']","[(139.7256288, 35.6312558), (140.99405836859154, 38.271602)]","['dong_jing', 'tai_chang']"
"['東京', '箱根', '河口湖']","[(139.7256288, 35.6312558), (139.7584178, 35.7223988), (138.7410533, 35.4536743)]","['dong_jing', 'xiang_gen', 'he_kou_hu']"
"['羽田', '浜松町']","[(141.13902289997344, 38.9262502), (137.7216865, 34.6749577)]","['yu_tian', 'bang_song_ting']"
