location,coordinate,pinyin
"['波上宮', '名護鳳梨園', '古宇利島', '美麗海水族館']","[(127.67109957940744, 26.22061335), (127.96966933368074, 26.6164726), (128.017934, 26.7037332), (127.87803798652658, 26.69436885)]","['bo_shang_gong', 'ming_hu_feng_li_yuan', 'gu_yu_li_dao', 'mei_li_hai_shui_zu_guan']"
"['那霸', '瀨長島', '慶良間諸島']","[(127.6652622, 26.1947116), (127.64057, 26.175771), (127.38639518565705, 26.204293)]","['na_ba', 'lai_zhang_dao', 'qing_liang_jian_zhu_dao']"
"['沖繩', '中城公園', '浦添大公園']","[(127.852425, 26.338702), (127.796802, 26.2734644), (127.72859984850896, 26.250426599999997)]","['chong_sheng', 'zhong_cheng_gong_yuan', 'pu_tian_da_gong_yuan']"
"['知念岬', '新原海灘', '瀨長島']","[(127.8305304, 26.1662233), (127.7880767, 26.1330099), (127.64057, 26.175771)]","['zhi_nian_jia', 'xin_yuan_hai_tan', 'lai_zhang_dao']"
"['沖繩', '萬座毛', '水族館 沖繩美']","[(126.98991, 27.1853954), (127.8502564, 26.5050087), (127.87803798652658, 26.69436885)]","['chong_sheng', 'wan_zuo_mao', 'shui_zu_guan_ _chong_sheng_mei']"
"['波上宮', '海中道路']","[(127.67109957940744, 26.22061335), (127.9421576, 26.3377403)]","['bo_shang_gong', 'hai_zhong_dao_lu']"
"['沖繩', '東京']","[(126.98991, 27.1853954), (139.744678, 35.6714198)]","['chong_sheng', 'dong_jing']"
"['沖繩', '牧志']","[(127.852425, 26.338702), (127.6925906, 26.2171925)]","['chong_sheng', 'mu_zhi']"
"['金武町', '宜野']","[(127.906464, 26.466732), (127.7382848, 26.2444388)]","['jin_wu_ting', 'yi_ye']"
"['沖繩', '美麗']","[(126.98991, 27.1853954), (127.8288889, 26.3445229)]","['chong_sheng', 'mei_li']"
"['護國神社', '沖宮', '波上宮']","[(127.6759957, 26.2032488), (127.6741668, 26.2134116), (127.67109957940744, 26.22061335)]","['hu_guo_shen_she', 'chong_gong', 'bo_shang_gong']"
"['沖繩', '日本本島']","[(126.98991, 27.1853954), (127.6652622, 26.1947116)]","['chong_sheng', 'ri_ben_ben_dao']"
"['那霸', '首里城']","[(127.6652622, 26.1947116), (127.7193727, 26.2170014)]","['na_ba', 'shou_li_cheng']"
"['國際通', '暖暮拉麵', '福州園', '孔子廟', '對馬丸紀念館']","[(127.6808596, 26.2138122), (127.9842241, 26.5841163), (127.67602999154556, 26.2177077), (127.6750263, 26.2182838), (127.67278988036026, 26.220014)]","['guo_ji_tong', 'nuan_mu_la_mian', 'fu_zhou_yuan', 'kong_zi_miao', 'dui_ma_wan_ji_nian_guan']"
"['沖繩', '浦添大公']","[(126.98991, 27.1853954), (127.72859984850896, 26.250426599999997)]","['chong_sheng', 'pu_tian_da_gong']"
"['沖繩', '南沖繩']","[(127.852425, 26.338702), (127.67164740464676, 26.160226549999997)]","['chong_sheng', 'nan_chong_sheng']"
"['沖繩', '美國村', '國際通', '小祿']","[(126.98991, 27.1853954), (127.7573637, 26.3165214), (127.6808596, 26.2138122), (127.6670333, 26.1965305)]","['chong_sheng', 'mei_guo_cun', 'guo_ji_tong', 'xiao_lu']"
"['波上宮', '玉泉洞']","[(127.67109957940744, 26.22061335), (127.7494943, 26.1404524)]","['bo_shang_gong', 'yu_quan_dong']"
"['玉泉洞', '波上宮', '首里城', '萬座毛']","[(127.7494943, 26.1404524), (127.67109957940744, 26.22061335), (127.7193727, 26.2170014), (127.8502564, 26.5050087)]","['yu_quan_dong', 'bo_shang_gong', 'shou_li_cheng', 'wan_zuo_mao']"
"['沖繩', '國際通', '首里城']","[(126.98991, 27.1853954), (127.6808596, 26.2138122), (127.7193727, 26.2170014)]","['chong_sheng', 'guo_ji_tong', 'shou_li_cheng']"
"['那霸', '古宇利大橋', '古宇利']","[(127.6652622, 26.1947116), (128.01694498469027, 26.685981650000002), (128.0200016, 26.7010213)]","['na_ba', 'gu_yu_li_da_qiao', 'gu_yu_li']"
"['那霸市', '八重']","[(127.6652622, 26.1947116), (124.164758, 24.342043)]","['na_ba_shi', 'ba_zhong']"
"['那霸機場', '古宇利島']","[(127.6489520891715, 26.1966997), (128.017934, 26.7037332)]","['na_ba_ji_chang', 'gu_yu_li_dao']"
"['沖繩', '沖宮']","[(126.98991, 27.1853954), (127.6741668, 26.2134116)]","['chong_sheng', 'chong_gong']"
"['殘波岬', '真榮田岬']","[(127.7119195, 26.4404961), (127.7713649, 26.4462842)]","['can_bo_jia', 'zhen_rong_tian_jia']"
"['那霸', '首里城', '金城町石疊道']","[(127.6652622, 26.1947116), (127.7193727, 26.2170014), (127.7152174, 26.2160037)]","['na_ba', 'shou_li_cheng', 'jin_cheng_ting_shi_die_dao']"
"['瀨長島', '永旺夢樂城沖']","[(127.64057, 26.175771), (127.79591752634313, 26.3142306)]","['lai_zhang_dao', 'yong_wang_meng_le_cheng_chong']"
"['萬座毛', '古宇利島']","[(127.8502564, 26.5050087), (128.017934, 26.7037332)]","['wan_zuo_mao', 'gu_yu_li_dao']"
"['知念岬公園', '新原海灘', '沖繩世界文化']","[(127.82977355557802, 26.166587), (127.7880767, 26.1330099), (127.7487649, 26.140606)]","['zhi_nian_jia_gong_yuan', 'xin_yuan_hai_tan', 'chong_sheng_shi_jie_wen_hua']"
"['沖繩', '泡瀬漁港']","[(126.98991, 27.1853954), (127.8372643, 26.3231281)]","['chong_sheng', 'pao_lai_yu_gang']"
"['首里城', '知念岬公園']","[(127.7193727, 26.2170014), (127.82977355557802, 26.166587)]","['shou_li_cheng', 'zhi_nian_jia_gong_yuan']"
"['那霸市', '玉泉洞']","[(127.6652622, 26.1947116), (127.7494943, 26.1404524)]","['na_ba_shi', 'yu_quan_dong']"
"['沖繩', '那霸']","[(126.98991, 27.1853954), (127.6652622, 26.1947116)]","['chong_sheng', 'na_ba']"
"['沖繩', '首里城']","[(126.98991, 27.1853954), (127.7193727, 26.2170014)]","['chong_sheng', 'shou_li_cheng']"
"['沖繩', '奧武山公園', '國際通']","[(126.98991, 27.1853954), (127.6753296, 26.2007505), (127.6808596, 26.2138122)]","['chong_sheng', 'ao_wu_shan_gong_yuan', 'guo_ji_tong']"
"['國際通', '沖繩']","[(127.6808596, 26.2138122), (126.98991, 27.1853954)]","['guo_ji_tong', 'chong_sheng']"
"['那霸機場', '美國村', '殘波岬', '萬座毛']","[(127.6489520891715, 26.1966997), (127.7573637, 26.3165214), (127.7119195, 26.4404961), (127.8502564, 26.5050087)]","['na_ba_ji_chang', 'mei_guo_cun', 'can_bo_jia', 'wan_zuo_mao']"
"['那霸', '古宇利大橋']","[(127.6652622, 26.1947116), (128.01694498469027, 26.685981650000002)]","['na_ba', 'gu_yu_li_da_qiao']"
"['沖繩', '琉球村', '浜の']","[(126.98991, 27.1853954), (127.77531413622545, 26.42962575), (127.8880443, 26.6240389)]","['chong_sheng', 'liu_qiu_cun', 'bang_の']"
"['沖繩', '泊港漁市場']","[(126.98991, 27.1853954), (127.6802917, 26.2299654)]","['chong_sheng', 'po_gang_yu_shi_chang']"
"['沖繩', '那霸市', '美國村']","[(126.98991, 27.1853954), (127.6652622, 26.1947116), (127.7573637, 26.3165214)]","['chong_sheng', 'na_ba_shi', 'mei_guo_cun']"
