location,coordinate,pinyin
"['廣田神社', '善知鳥神社', '稻荷神社']","[(135.3400056, 34.7529338), (140.7427279, 40.8266592), (130.4528001, 33.6531932)]","['guang_tian_shen_she', 'shan_zhi_niao_shen_she', 'dao_he_shen_she']"
"['仙台', '藏王', '銀山溫泉', '青森美術館']","[(140.8798618, 38.2597492), (140.05080632716468, 39.76201355), (140.4900403, 38.5771833), (140.7008863, 40.8072917)]","['xian_tai', 'cang_wang', 'yin_shan_wen_quan', 'qing_sen_mei_shu_guan']"
"['仙台', '松島']","[(140.8798618, 38.2597492), (141.0659166, 38.3799813)]","['xian_tai', 'song_dao']"
"['青森', '奧入瀨溪流']","[(140.7340559, 40.829963), (140.9791052, 40.5746171)]","['qing_sen', 'ao_ru_lai_xi_liu']"
"['仙台', '山形', '山寺']","[(140.8798618, 38.2597492), (140.3278031, 38.2484701), (140.434729, 38.3095946)]","['xian_tai', 'shan_xing', 'shan_si']"
"['仙台', '青森', '弘前', '氣仙沼']","[(140.8798618, 38.2597492), (140.7340559, 40.829963), (140.4852086, 40.5995511), (141.5592427, 38.9099395)]","['xian_tai', 'qing_sen', 'hong_qian', 'qi_xian_zhao']"
"['東京', '山形', '田澤湖', '秋田']","[(139.762221, 35.6821936), (140.3278031, 38.2484701), (140.6632728430334, 39.72483705), (140.1296657, 39.7168833)]","['dong_jing', 'shan_xing', 'tian_ze_hu', 'qiu_tian']"
"['仙台', '角館', '田澤湖', '森吉山']","[(140.8798618, 38.2597492), (140.5711801, 39.5917435), (140.6632728430334, 39.72483705), (140.5441784, 39.9767641)]","['xian_tai', 'jiao_guan', 'tian_ze_hu', 'sen_ji_shan']"
"['仙台', '山寺', '松島']","[(140.8798618, 38.2597492), (140.434729, 38.3095946), (141.0659166, 38.3799813)]","['xian_tai', 'shan_si', 'song_dao']"
"['青森', '鹽釜', '女川']","[(140.7340559, 40.829963), (141.0095991, 38.309546), (141.4436001, 38.4468454)]","['qing_sen', 'yan_fu', 'nv_chuan']"
"['仙台', '銀山溫泉']","[(140.8798618, 38.2597492), (140.4900403, 38.5771833)]","['xian_tai', 'yin_shan_wen_quan']"
"['天童市', '南陽市', '米澤市']","[(140.3772634, 38.3624343), (140.1481134, 38.055081), (140.1166276, 37.9222426)]","['tian_tong_shi', 'nan_yang_shi', 'mi_ze_shi']"
"['仙台', '白石']","[(140.8798618, 38.2597492), (140.6263277, 38.0030467)]","['xian_tai', 'bai_shi']"
"['仙台', '秋保', '磊磊峽', '平泉']","[(140.8798618, 38.2597492), (140.71780983916898, 38.228638950000004), (140.814559, 38.577954), (141.1176428, 38.9880865)]","['xian_tai', 'qiu_bao', 'lei_lei_xia', 'ping_quan']"
"['山形市', '藏王溫泉', '米澤市', '南陽']","[(140.3400205, 38.2553393), (140.3989427, 38.166633), (140.1166276, 37.9222426), (137.9586743, 35.6213256)]","['shan_xing_shi', 'cang_wang_wen_quan', 'mi_ze_shi', 'nan_yang']"
"['仙台', '宮城', '松島', '名取市']","[(140.8798618, 38.2597492), (139.838919, 34.9803071), (141.0659166, 38.3799813), (140.8917335, 38.171499)]","['xian_tai', 'gong_cheng', 'song_dao', 'ming_qu_shi']"
"['東京', '箱崎', '人形町', '中目黑']","[(139.762221, 35.6821936), (130.4268669, 33.6180172), (139.7821879, 35.6862799), (139.6989507, 35.644085)]","['dong_jing', 'xiang_qi', 'ren_xing_ting', 'zhong_mu_hei']"
"['仙台', '青森', '秋田', '山形']","[(140.8798618, 38.2597492), (140.7340559, 40.829963), (140.1296657, 39.7168833), (140.3278031, 38.2484701)]","['xian_tai', 'qing_sen', 'qiu_tian', 'shan_xing']"
"['仙台', '一關', '平泉', '奧入瀨溪']","[(140.8798618, 38.2597492), (141.126605, 38.9346961), (141.1176428, 38.9880865), (140.98095, 40.5757485)]","['xian_tai', 'yi_guan', 'ping_quan', 'ao_ru_lai_xi']"
"['山寺', '松島']","[(140.434729, 38.3095946), (141.0659166, 38.3799813)]","['shan_si', 'song_dao']"
"['東京', '名古屋', '金澤', '大阪']","[(139.762221, 35.6821936), (136.8829402, 35.170952), (141.7320871, 39.483541), (135.4955866, 34.7021912)]","['dong_jing', 'ming_gu_wu', 'jin_ze', 'da_ban']"
"['一關', '平泉', '狔鼻溪']","[(141.126605, 38.9346961), (141.1176428, 38.9880865), (141.2532905, 38.9885764)]","['yi_guan', 'ping_quan', 'ni_bi_xi']"
"['仙台空港', '山形', '山寺', '藏王溫泉']","[(140.93001887535996, 38.138305200000005), (140.3278031, 38.2484701), (140.434729, 38.3095946), (140.3989427, 38.166633)]","['xian_tai_kong_gang', 'shan_xing', 'shan_si', 'cang_wang_wen_quan']"
"['花卷', '北海道', '東京']","[(141.1107252, 39.3931976), (143.33071579283663, 43.4603175), (139.762221, 35.6821936)]","['hua_juan', 'bei_hai_dao', 'dong_jing']"
