location,coordinate,pinyin
"['太魯閣', '東大門']","[(121.623947, 24.1521), (120.1839258, 22.9891399)]","['tai_lu_ge', 'dong_da_men']"
"['北門', '雙春濱海遊憩區']","[(120.4546634665902, 23.487623499999998), (120.1127985, 23.30551)]","['bei_men', 'shuang_chun_bin_hai_you_qi_qu']"
"['美濃', '美濃民俗村', '美光粄條', '美濃湖']","[(121.0928033, 22.8363731), (120.51423845967713, 22.89287125), (120.5391362, 22.9012962), (120.55421156322936, 22.907769950000002)]","['mei_nong', 'mei_nong_min_su_cun', 'mei_guang_ban_tiao', 'mei_nong_hu']"
"['大湖', '勝興老街']","[(120.243056, 22.891389), (120.6632134, 24.1457765)]","['da_hu', 'sheng_xing_lao_jie']"
"['八里', '林口', '中和']","[(121.3982286, 25.1467806), (121.3614372, 25.0657846), (120.826595, 24.158224)]","['ba_li', 'lin_kou', 'zhong_he']"
"['南澳', '花蓮翰品酒店']","[(121.8013418, 24.463079), (121.62690888891015, 23.99197425)]","['nan_ao', 'hua_lian_han_pin_jiu_dian']"
"['太麻里', '金崙溫泉']","[(121.004692, 22.6189626), (120.9402206, 22.5303547)]","['tai_ma_li', 'jin_lun_wen_quan']"
"['石碇', '新店', '永安']","[(121.6589174, 24.9913371), (121.5376991, 24.9580443), (121.0370359, 24.9914088)]","['shi_ding', 'xin_dian', 'yong_an']"
"['南橫公路', '天龍飯店', '向陽', '寶來', '甲仙']","[(120.91894803832491, 23.241949499999997), (121.04201192147471, 23.173165949999998), (120.9855971, 23.2492557), (120.699722, 23.108333), (120.5889226, 23.0816948)]","['nan_heng_gong_lu', 'tian_long_fan_dian', 'xiang_yang', 'bao_lai', 'jia_xian']"
"['墾丁', '海生館']","[(120.800278, 21.945278), (120.6984395, 22.0459175)]","['ken_ding', 'hai_sheng_guan']"
"['羅東', '蘇花公路']","[(121.7745419, 24.6779859), (121.643792, 24.1415089)]","['luo_dong', 'su_hua_gong_lu']"
"['五結鄉', '傳統藝術中心']","[(121.7982972, 24.6846396), (121.744221, 25.1314681)]","['wu_jie_xiang', 'chuan_tong_yi_shu_zhong_xin']"
"['草漯砂丘', '崙坪公園', '雙連坡碉堡']","[(121.12928003796941, 25.07420295), (120.53241057854022, 24.0673448), (121.18407918668296, 24.9561158)]","['cao_luo_sha_qiu', 'lun_ping_gong_yuan', 'shuang_lian_po_diao_bao']"
"['石門', '老梅石槽']","[(121.2435473, 24.8127595), (121.5422602, 25.293481)]","['shi_men', 'lao_mei_shi_cao']"
"['苓雅', '愛河灣']","[(121.4036726, 23.4664192), (120.2904299, 22.6172793)]","['ling_ya', 'ai_he_wan']"
"['澎湖', '隘門沙灘', '山水沙灘', '風櫃洞', '蛇頭山']","[(119.5664543, 23.569694), (119.64024589146973, 23.556846999999998), (119.59510622230255, 23.5125546), (119.5437544, 23.5376636), (120.6955598, 22.9071424)]","['peng_hu', 'ai_men_sha_tan', 'shan_shui_sha_tan', 'feng_gui_dong', 'she_tou_shan']"
"['埔心牧場', '萌萌村']","[(121.17840635093322, 24.9263239), (121.5439567, 25.1375946)]","['pu_xin_mu_chang', 'meng_meng_cun']"
"['橋頭區', '橋頭糖廠站']","[(120.305741, 22.757501), (120.3145546, 22.7535555)]","['qiao_tou_qu', 'qiao_tou_tang_chang_zhan']"
"['關廟區', '東安街', '新光里']","[(120.3344937, 22.9623531), (121.7811579, 24.6730226), (120.70772601756954, 24.1543)]","['guan_miao_qu', 'dong_an_jie', 'xin_guang_li']"
"['石碇', '千島湖', '淡蘭古道', '石碇老街', '深坑老街']","[(121.6589174, 24.9913371), (120.38140134205298, 22.728443499999997), (121.6516826, 25.0048351), (121.6600705, 24.9910775), (121.61462328582196, 25.001650650000002)]","['shi_ding', 'qian_dao_hu', 'dan_lan_gu_dao', 'shi_ding_lao_jie', 'shen_keng_lao_jie']"
"['墾丁', '滿州']","[(120.800278, 21.945278), (120.8388993, 22.0213231)]","['ken_ding', 'man_zhou']"
"['後龍鎮', '半天寮好望角']","[(120.7919167, 24.6135667), (120.73037622256362, 24.60348065)]","['hou_long_zhen', 'ban_tian_liao_hao_wang_jiao']"
"['鹿港', '桂花藝術村']","[(120.433905, 24.059422), (120.43144012284336, 24.05609955)]","['lu_gang', 'gui_hua_yi_shu_cun']"
"['鹿耳門溪出海口', '鄭成功祖廟']","[(120.1047546, 23.0246138), (120.2029536, 22.9926391)]","['lu_er_men_xi_chu_hai_kou', 'zheng_cheng_gong_zu_miao']"
"['馬沙溝', '將軍', '普濟殿']","[(120.094802, 23.2164699), (120.1381823, 23.2164647), (120.19919333485072, 22.99881605)]","['ma_sha_gou', 'jiang_jun', 'pu_ji_dian']"
"['富岡漁港', '加路蘭', '杉原灣']","[(121.19324547193291, 22.7910046), (121.1875371, 22.8107754), (121.18758096573083, 22.8283408)]","['fu_gang_yu_gang', 'jia_lu_lan', 'shan_yuan_wan']"
"['安平', '漁光島']","[(120.1627908, 23.001015), (120.1562795, 22.9814006)]","['an_ping', 'yu_guang_dao']"
"['石碇', '皇帝殿', '東峰登山口', '西峰']","[(121.6589174, 24.9913371), (121.6711744, 24.9824538), (121.887011, 25.118604), (120.3060255, 22.7325836)]","['shi_ding', 'huang_di_dian', 'dong_feng_deng_shan_kou', 'xi_feng']"
"['茂林', '萬山']","[(121.586496, 25.280496), (120.8293516, 22.9208024)]","['mao_lin', 'wan_shan']"
"['光復', '南清水溪', '大興瀑布']","[(121.4209722, 23.6663752), (121.387362, 23.6395309), (121.3734805, 23.645684)]","['guang_fu', 'nan_qing_shui_xi', 'da_xing_pu_bu']"
"['迪化街', '涼州街']","[(121.2053647, 24.9174284), (121.5137177, 25.0608032)]","['di_hua_jie', 'liang_zhou_jie']"
"['南港', '中南街']","[(121.6072576, 25.0528686), (120.786398, 24.6132184)]","['nan_gang', 'zhong_nan_jie']"
"['西港', '金砂里']","[(120.2904, 23.864393), (120.20751391977909, 23.153744850000002)]","['xi_gang', 'jin_sha_li']"
"['鯉魚潭', '鯉魚山']","[(121.5103670845707, 23.9297654), (120.4505038, 22.5541338)]","['li_yu_tan', 'li_yu_shan']"
"['澎湖', '西嶼', '外垵']","[(119.5664543, 23.569694), (119.51325775080943, 23.60465285), (119.480833, 23.565278)]","['peng_hu', 'xi_yu', 'wai_an']"
"['大同', '排骨溪', '棲蘭山']","[(121.6344, 24.1949), (121.4942605, 24.6022823), (121.5029128, 24.6814832)]","['da_tong', 'pai_gu_xi', 'qi_lan_shan']"
"['太保', '故宮南院']","[(120.3310445, 23.4539997), (120.29403651930264, 23.47564595)]","['tai_bao', 'gu_gong_nan_yuan']"
"['太魯閣', '白楊步道', '水簾洞']","[(121.623947, 24.1521), (121.4857501, 24.1849792), (120.692222, 23.578056)]","['tai_lu_ge', 'bai_yang_bu_dao', 'shui_lian_dong']"
"['日月潭', '魚池鄉']","[(120.92860700524224, 23.8523282), (120.9360604, 23.8963558)]","['ri_yue_tan', 'yu_chi_xiang']"
"['柳營', '劉家古厝']","[(120.3226583, 23.2772945), (121.44249, 25.0052204)]","['liu_ying', 'liu_jia_gu_cuo']"
"['阿里山', '奮起湖車站']","[(120.8097545, 23.5150347), (120.6949203, 23.5053414)]","['a_li_shan', 'fen_qi_hu_che_zhan']"
"['北屯區', '天祥街']","[(120.6862883, 24.1822644), (121.3016676, 24.9735249)]","['bei_tun_qu', 'tian_xiang_jie']"
"['柴山', '大峽谷']","[(120.26232839339963, 22.64639755), (120.6465507, 23.5718582)]","['chai_shan', 'da_xia_gu']"
"['龜山', '林口']","[(120.8646538, 24.4198133), (121.3614372, 25.0657846)]","['gui_shan', 'lin_kou']"
"['大溪', '花海農場', '愛情故事館']","[(121.8897414, 24.9384749), (121.28959133897573, 24.844048049999998), (120.92594812989753, 23.96737265)]","['da_xi', 'hua_hai_nong_chang', 'ai_qing_gu_shi_guan']"
"['太平山', '翠峰湖']","[(121.2351337, 24.8114086), (121.60398987520506, 24.51598795)]","['tai_ping_shan', 'cui_feng_hu']"
"['太麻里', '多良車站']","[(121.004692, 22.6189626), (120.9588991, 22.5075353)]","['tai_ma_li', 'duo_liang_che_zhan']"
"['石碇', '千島湖', '翡翠水庫']","[(121.6589174, 24.9913371), (120.38140134205298, 22.728443499999997), (121.58928140256253, 24.913803350000002)]","['shi_ding', 'qian_dao_hu', 'fei_cui_shui_ku']"
"['烏山頭水庫風景區', '六甲區', '官田區']","[(120.36683979271088, 23.20537735), (120.3522211, 23.2329008), (120.3164929, 23.1919968)]","['wu_shan_tou_shui_ku_feng_jing_qu', 'liu_jia_qu', 'guan_tian_qu']"
"['泰武', '瓦魯斯溪']","[(119.634228, 23.5713897), (120.6773952, 22.5689698)]","['tai_wu', 'wa_lu_si_xi']"
"['滿州', '加都魯溪', '七孔瀑布']","[(120.8388993, 22.0213231), (120.8060855, 22.0162699), (120.8063963, 22.0074426)]","['man_zhou', 'jia_dou_lu_xi', 'qi_kong_pu_bu']"
"['金山區', '獅頭山公園步道']","[(121.6361852, 25.221883), (121.6519275, 25.2288573)]","['jin_shan_qu', 'shi_tou_shan_gong_yuan_bu_dao']"
"['北投', '貴子坑']","[(121.4985934, 25.1319307), (121.4239905, 25.039207)]","['bei_tou', 'gui_zi_keng']"
"['檨仔林', '鷲嶺', '山川台']","[(120.232172, 23.1355393), (121.50956045911342, 25.03732905), (120.08600338323663, 23.18952565)]","['she_zai_lin', 'jiu_ling', 'shan_chuan_tai']"
"['三地門', '德文']","[(120.651669, 22.715769), (120.7067765, 22.7668554)]","['san_di_men', 'de_wen']"
"['月津港', '沖繩']","[(120.2980547, 22.6019894), (120.6838488, 23.7563856)]","['yue_jin_gang', 'chong_sheng']"
"['草屯', '中興新村', '埔里']","[(120.6841, 23.979302), (120.687622, 23.9532941), (120.9691462, 23.9666667)]","['cao_tun', 'zhong_xing_xin_cun', 'pu_li']"
"['合歡山', '石門山', '合歡東峰', '合歡尖山']","[(121.2711773, 24.1426431), (121.284592, 24.152385), (121.2811661, 24.1357613), (121.2835906, 24.1444302)]","['he_huan_shan', 'shi_men_shan', 'he_huan_dong_feng', 'he_huan_jian_shan']"
"['福爾摩沙', '珊瑚潛行']","[(120.83537694479215, 23.5983227), (121.5150711, 25.0545573)]","['fu_er_mo_sha', 'shan_hu_qian_xing']"
"['和平島公園', '基隆嶼']","[(121.76478959451649, 25.16201305), (121.78592003050898, 25.192294150000002)]","['he_ping_dao_gong_yuan', 'ji_long_yu']"
"['獅子', '南勢湖溪']","[(121.17615308689018, 24.0860489), (120.6680025, 22.3229264)]","['shi_zi', 'nan_shi_hu_xi']"
"['北投', '承天禪寺']","[(121.4985934, 25.1319307), (121.44648946188525, 24.9508675)]","['bei_tou', 'cheng_tian_chan_si']"
"['田寮區', '月世界']","[(120.3594453, 22.8699651), (120.3901365, 22.8850558)]","['tian_liao_qu', 'yue_shi_jie']"
"['春日', '士文溪']","[(121.3945061, 23.4560208), (120.606944, 22.346667)]","['chun_ri', 'shi_wen_xi']"
"['復興鄉', '拉拉山']","[(121.351898, 24.8153769), (121.434113, 24.730383)]","['fu_xing_xiang', 'la_la_shan']"
"['來義', '文樂']","[(120.676509, 22.526123), (120.624444, 22.491944)]","['lai_yi', 'wen_le']"
"['峨嵋', '藤坪', '六寮']","[(121.0198452, 24.6887241), (120.884606, 24.631933), (121.357094, 24.8650722)]","['e_mei', 'teng_ping', 'liu_liao']"
"['八斗子火車站', '潮境公園']","[(121.8049774, 25.1343884), (121.80348953813831, 25.1435947)]","['ba_dou_zi_huo_che_zhan', 'chao_jing_gong_yuan']"
"['澎湖', '湖西', '林投公園', '隘門沙灘']","[(119.5664543, 23.569694), (119.659652, 23.585303), (119.64189411809777, 23.55938995), (119.64024589146973, 23.556846999999998)]","['peng_hu', 'hu_xi', 'lin_tou_gong_yuan', 'ai_men_sha_tan']"
"['梅山', '太平雲梯', '雲之南道', '太平老街']","[(121.153268, 22.914788), (120.5977992, 23.5586479), (120.5975419, 23.5573723), (120.6042718, 23.560918)]","['mei_shan', 'tai_ping_yun_ti', 'yun_zhi_nan_dao', 'tai_ping_lao_jie']"
"['中壢區', '內厝里']","[(121.224926, 24.9653531), (120.24342270446222, 23.4712746)]","['zhong_li_qu', 'nei_cuo_li']"
"['員山鄉', '烏來區']","[(121.723372, 24.743183), (121.5512547, 24.8639758)]","['yuan_shan_xiang', 'wu_lai_qu']"
"['北門', '臺灣博物館']","[(120.4546634665902, 23.487623499999998), (121.51500289279042, 25.0427647)]","['bei_men', 'tai_wan_bo_wu_guan']"
"['褒忠鄉', '五年千歲公園']","[(120.310488, 23.694245), (120.27721018188782, 23.6986457)]","['bao_zhong_xiang', 'wu_nian_qian_sui_gong_yuan']"
