location,coordinate,pinyin
"['新千歲機場', '小樽', '札幌', '登別']","[(141.6808693, 42.7878079), (140.9933209, 43.1975603), (141.3509218, 43.0686365), (141.1808029, 42.4520087)]","['xin_qian_sui_ji_chang', 'xiao_zun', 'zha_huang', 'deng_bie']"
"['旭川動物園', '美瑛']","[(142.4300643, 43.7712954), (142.4612251, 43.5909601)]","['xu_chuan_dong_wu_yuan', 'mei_ying']"
"['函館', '洞爺湖', '登別', '小樽']","[(140.7261884, 41.7737872), (140.89569112064035, 42.6019661), (141.1808029, 42.4520087), (140.9933209, 43.1975603)]","['han_guan', 'dong_ye_hu', 'deng_bie', 'xiao_zun']"
"['札幌', '定山溪', '小樽', '北海道開拓村']","[(141.3509218, 43.0686365), (141.1589341, 42.9769794), (140.9933209, 43.1975603), (143.154204, 42.7287018)]","['zha_huang', 'ding_shan_xi', 'xiao_zun', 'bei_hai_dao_kai_tuo_cun']"
"['新千歲機場', '札幌市區']","[(141.6808693, 42.7878079), (141.3339559, 43.1126899)]","['xin_qian_sui_ji_chang', 'zha_huang_shi_qu']"
"['釧路', '網走', '札幌', '新千歲機場']","[(144.40021353428233, 42.981836349999995), (144.1172439, 44.0116873), (141.39388061344943, 43.169835000000006), (141.6808693, 42.7878079)]","['chuan_lu', 'wang_zou', 'zha_huang', 'xin_qian_sui_ji_chang']"
"['美瑛', '旭山動物園']","[(142.4612251, 43.5909601), (142.4792728778424, 43.768642400000004)]","['mei_ying', 'xu_shan_dong_wu_yuan']"
"['北海道', '青池']","[(116.38206625676122, 39.92626025), (140.64427862569744, 42.01468765)]","['bei_hai_dao', 'qing_chi']"
"['札幌', '定山溪', '小樽', '洞爺湖']","[(141.3509218, 43.0686365), (141.1589341, 42.9769794), (140.9933209, 43.1975603), (140.89569112064035, 42.6019661)]","['zha_huang', 'ding_shan_xi', 'xiao_zun', 'dong_ye_hu']"
"['新千歲', '苫小牧', '登別市', '洞爺湖']","[(141.68295976251358, 42.786787000000004), (141.5966906, 42.6398231), (141.1064964, 42.4127547), (140.89569112064035, 42.6019661)]","['xin_qian_sui', 'shan_xiao_mu', 'deng_bie_shi', 'dong_ye_hu']"
"['新千歲', '札幌', '旭川', '中島公園']","[(141.68295976251358, 42.786787000000004), (141.3509218, 43.0686365), (142.3579263, 43.7627501), (141.3541976643338, 43.043928199999996)]","['xin_qian_sui', 'zha_huang', 'xu_chuan', 'zhong_dao_gong_yuan']"
"['小樽', '旭川', '美瑛', '富良野']","[(140.9933209, 43.1975603), (142.3579263, 43.7627501), (142.4612251, 43.5909601), (142.3916593, 43.3469008)]","['xiao_zun', 'xu_chuan', 'mei_ying', 'fu_liang_ye']"
"['千歲', '帶廣', '釧路', '阿寒湖']","[(141.64340400956024, 42.8284472), (143.18545784389755, 42.9046679), (144.3820381, 42.9906837), (144.09924305383902, 43.455953199999996)]","['qian_sui', 'dai_guang', 'chuan_lu', 'a_han_hu']"
"['旭川', '美瑛', '富良野', '帶廣']","[(142.3579263, 43.7627501), (142.4612251, 43.5909601), (142.3916593, 43.3469008), (143.18545784389755, 42.9046679)]","['xu_chuan', 'mei_ying', 'fu_liang_ye', 'dai_guang']"
"['函館', '地獄谷']","[(140.7261884, 41.7737872), (142.84373011250113, 43.662804449999996)]","['han_guan', 'di_yu_gu']"
"['北海道神宮', '德山大神宮', '姥神大神宮', '岩見沢神社']","[(141.30780252442543, 43.0542669), (140.1106312, 41.4348778), (140.125109475, 41.86659365), (141.7733185080138, 43.19560155)]","['bei_hai_dao_shen_gong', 'de_shan_da_shen_gong', 'lao_shen_da_shen_gong', 'yan_jian_ze_shen_she']"
"['北海道', '新有菜']","[(116.38206625676122, 39.92626025), (119.37225961309274, 36.83401595)]","['bei_hai_dao', 'xin_you_cai']"
"['函館', '旭川', '美瑛', '札幌']","[(140.7261884, 41.7737872), (142.3579263, 43.7627501), (142.4612251, 43.5909601), (141.3509218, 43.0686365)]","['han_guan', 'xu_chuan', 'mei_ying', 'zha_huang']"
"['新千歲機場', '旭川', '美瑛']","[(141.6808693, 42.7878079), (142.3579263, 43.7627501), (142.4612251, 43.5909601)]","['xin_qian_sui_ji_chang', 'xu_chuan', 'mei_ying']"
